chart_id,family,seed,opportunity,proposal_id,parent_id,anchor_time,anchor_beat,end_time,end_beat,lane,membership,action,rng_before,rng_after
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",1,"OP-00005405-LnInterior-S53-T8240-A8240",0c0598f7c40832fc0466305a4fea7814b84782ef4dc4385c32ff585830b59006,O00000053,8240,23,249599999999993800106666667,8666,24,499199999999993466880000001,4,NoObservedRelation,ABSTAIN,110,110
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",8,"OP-00005477-LnInterior-S3468-T181166-A181166",be95a6d42e69dd611b30e532c659cf3c9af16238a3060617bc77d3350622eaca,O00003468,181166,530,49919999999985853354666667,181209,530,62533333333319183324444446,5,CandidateNotObserved,ABSTAIN,4546,4546
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",8,"OP-00005496-LnInterior-S5265-T251564-A251564",f29ce46cd695300e83e8129c595d71d43fd5e0f3b77d1447e32e404a75f43e2f,O00005265,251564,736,99999999999980346666666667,251607,737,12613333333313676636444441,2,NoObservedRelation,ABSTAIN,6697,6697
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",9,"OP-00005400-LnInterior-S11-T2189-A2189",ed0364174c2b8a7b782b6451dbdee3f365e172dba1a4731cfbb9964cfba1aa06,O00000011,2189,5,4999999999999985333333333333,2615,6,7495999999999982001066666663,4,CandidateNotObserved,ABSTAIN,26,26
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",9,"OP-00005405-LnInterior-S53-T8240-A8240",3d57bf15849f42c925c407b15055918ac7e5a71bc44b3ccae027f52bea2fb9e3,O00000053,8240,23,249599999999993800106666667,8837,25,000799999999993333120000000,4,NoObservedRelation,ABSTAIN,97,97
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",9,"OP-00005407-LnInterior-S74-T10882-A10882",e3a79adfa60364448dc12e83d1d38ea07c7277bd6e6dc0a0c163a74db934d67d,O00000074,10882,30,999466666666658400142222222,11223,31,999733333333324800071111111,4,NoObservedRelation,ABSTAIN,140,140
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",9,"OP-00005408-LnInterior-S108-T13098-A13098",1526a83c94770a5c9018af9badfede0d42a0336b19148b54e45705f47b593e05,O00000108,13098,37,499733333333323333404444444,13183,37,749066666666656600248888888,6,CandidateNotObserved,ABSTAIN,181,181
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",9,"OP-00005409-LnInterior-S108-T13609-A13609",6d0dae831bdde40ca104ce93ac2355d62409b3c3285d181b4e927ea6566b1740,O00000108,13609,38,998666666666656267022222222,14205,40,746933333333322467484444444,4,NoObservedRelation,ABSTAIN,190,190
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",9,"OP-00005415-LnInterior-S221-T20981-A20981",9408fcd6c465666a841246293c454dce826b03bb87aee5f436b8c154930ce189,O00000221,20981,60,623199999999983833813333333,21023,60,74639999999998380096000000,2,NoObservedRelation,ABSTAIN,329,329
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",9,"OP-00005427-LnInterior-S2050-T102927-A102927",45e14fcc0311a4791654d60d9bdaf27e4c7a84fc6296dd76853663a60b931ecf,O00002050,102927,300,99813333333325306716444444,102969,301,12133333333325303431111110,4,NoObservedRelation,ABSTAIN,2575,2575
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",9,"OP-00005433-LnInterior-S2200-T112515-A112515",52a6779274390bc682a80ef8affbbae8b53f307568a426cdaa983eb2f0185a67,O00002200,112515,329,12293333333324556721777778,112558,329,24906666666657886691555556,2,NoObservedRelation,ABSTAIN,2775,2775
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",9,"OP-00005439-LnInterior-S2240-T116862-A116862",56319ca293201ae10fd3ca541e8f308c9d529b4f34b6343543d034c95f7ab236,O00002240,116862,341,87413333333324216689777778,116947,342,12346666666657543374222222,3,NoObservedRelation,ABSTAIN,2823,2823
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",9,"OP-00005438-LnInterior-S2240-T117245-A117245",86cadd996f949d70a0bae0cc41a9a8fa0aa7cef281ea3261a918c4cd9f5739d6,O00002240,117245,342,99759999999990853397333333,117330,343,24693333333324180081777777,2,CandidateNotObserved,ABSTAIN,2832,2832
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",9,"OP-00005444-LnInterior-S2505-T130711-A130711",b09698d5f889835ac6ce0cab704197776c8941277887bd9b85779663b1614c72,O00002505,130711,382,49786666666656466723555556,130754,382,62399999999989796693333334,3,CandidateNotObserved,ABSTAIN,3171,3171
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",9,"OP-00005453-LnInterior-S2686-T141492-A141492",10d1cb07a99b2abefe2fafcb96d852ee1cbaa58cdb9726c70dbaba9f1a3045ff,O00002686,141492,414,12213333333322290076444444,141535,414,2482666666665562004622222,2,NoObservedRelation,ABSTAIN,3460,3460
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",9,"OP-00005452-LnInterior-S2686-T141620-A141620",55b0748b914eadc52688a0fa86d4dc982e29a049974cbfc08edd9f4cc216e9ab,O00002686,141620,414,49759999999988946730666667,141663,414,6237333333332227670044444,1,CandidateNotObserved,ABSTAIN,3466,3466
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",9,"OP-00005455-LnInterior-S2709-T143154-A143154",8d07137e3cc08f6b5e5b0f121270ccd455f28cce46096f099f0f3721e0946640,O00002709,143154,418,99733333333322160071111111,143196,419,12053333333322156785777773,1,CandidateNotObserved,ABSTAIN,3509,3509
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",9,"OP-00005457-LnInterior-S2733-T143666-A143666",0854cc08f5a4ce776313164873d73dcdb854ca415bf9a441cef79e32204d6b22,O00002733,143666,420,49919999999988786688,143709,420,62533333333322116657777777,0,CandidateNotObserved,ABSTAIN,3526,3526
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",9,"OP-00005456-LnInterior-S2733-T144007-A144007",4f95212ae41910b139e770268c0c076b9d2522935a68f96d3554b5f20a9df0e6,O00002733,144007,421,49946666666655426680888889,144050,421,62559999999988756650666669,4,CandidateNotObserved,ABSTAIN,3537,3537
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",9,"OP-00005459-LnInterior-S2760-T145370-A145370",49701d0d99f7183f87cf9cfae35a00b630e11b259a9e5cbd0a2d684ad0d88fc5,O00002760,145370,425,49759999999988653397333333,145412,425,62079999999988650112000001,6,CandidateNotObserved,ABSTAIN,3574,3574
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",9,"OP-00005460-LnInterior-S2784-T147245-A147245",5720cc41da57a766a05c2b7b8f2a78e217cda7b67a3be86242133156b31796e0,O00002784,147245,430,99759999999988506730666667,147287,431,12079999999988503445333338,6,NoObservedRelation,ABSTAIN,3633,3633
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",9,"OP-00005463-LnInterior-S2809-T148652-A148652",9c897a4c7e18b55be6f3bc88c2bf8e800055b0520c4e5891e414e4c00e90d244,O00002809,148652,435,12479999999988396672,148694,435,24799999999988393386666663,5,NoObservedRelation,ABSTAIN,3683,3683
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",9,"OP-00005466-LnInterior-S2865-T150995-A150995",535ed40fcb04ef233fa144d25a137d43bdd7edc5ddc74fb811c83242d6b4790e,O00002865,150995,441,99759999999988213397333333,151037,442,12079999999988210112000001,5,CandidateNotObserved,ABSTAIN,3752,3752
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",9,"OP-00005469-LnInterior-S2951-T154916-A154916",ff5fa5b326a47a6ad25dcf53ec27ef4cc7a957c7bfdeac125efbbf24242e061c,O00002951,154916,453,49919999999987906688,155342,454,74879999999987873365333336,6,CandidateNotObserved,ABSTAIN,3870,3870
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",9,"OP-00005470-LnInterior-S2956-T157089-A157089",8c32ae3728881dabec3ec618e98f4a364dc659cab1890ca8d4470779de5958a3,O00002956,157089,459,87333333333321070044444444,157132,459,99946666666654400014222218,6,NoObservedRelation,ABSTAIN,3876,3876
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",9,"OP-00005475-LnInterior-S3445-T178353-A178353",ffb041c5ea26348fee3b3ee7b87a385340462deb87e16aa16dc3502e913de457,O00003445,178353,522,24773333333319406727111111,178992,524,12213333333319356743111111,2,NoObservedRelation,ABSTAIN,4483,4483
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",10,"OP-00005405-LnInterior-S53-T8240-A8240",69a3195221b7a032b6f53aa073a3695a3010fb429cfee1872d2a1d6bac718ac5,O00000053,8240,23,249599999999993800106666667,8751,24,748533333333326733724444444,4,NoObservedRelation,ABSTAIN,101,101
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",10,"OP-00005409-LnInterior-S108-T13609-A13609",a7b604ccc66a5db186cf014cf268d1d8eff9a1ba0dd5ff8bb394baa0999dd691,O00000108,13609,38,998666666666656267022222222,13950,39,998933333333322666951111110,4,NoObservedRelation,ABSTAIN,186,186
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",10,"OP-00005415-LnInterior-S221-T20981-A20981",94857d28a4aa18445a90e51dc8d4e8796db82fb7677beba410389350a8838343,O00000221,20981,60,623199999999983833813333333,21024,60,74933333333331713351111111,2,NoObservedRelation,ABSTAIN,345,345
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",10,"OP-00005431-LnInterior-S2197-T111791-A111791",5bed8868a8d0b89d1d401ab8f2a2c9e5ed9cc0db9b8a8abbb3291ac3bcf80483,O00002197,111791,326,99919999999991280021333333,112515,329,12293333333324556721777778,4,NoObservedRelation,ABSTAIN,2770,2770
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",10,"OP-00005435-LnInterior-S2219-T114518-A114518",e37695c67df99ca1c7ebb992d16289508fbad8577d65177e890d6fdd4a394d7b,O00002219,114518,334,99839999999991066709333333,115797,338,75013333333324299996444444,4,NoObservedRelation,ABSTAIN,2804,2804
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",10,"OP-00005449-LnInterior-S2611-T136762-A136762",f53421603b15ca2e9e6a16a3330557f1a1a3eae25e0474c0c8b8ead5976122ec,O00002611,136762,400,24746666666655993400888889,136805,400,37359999999989323370666671,5,NoObservedRelation,ABSTAIN,3340,3340
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",10,"OP-00005448-LnInterior-S2611-T137359-A137359",65dbd90be3bea9ed5565e6ae5da8de1087ad1d085c4fd9b29dd4691f7a98b371,O00002611,137359,401,99866666666655946702222222,137401,402,12186666666655943416888888,4,CandidateNotObserved,ABSTAIN,3362,3362
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",10,"OP-00005451-LnInterior-S2636-T138211-A138211",a4e833da6b6f540149f4c70a2843a63341d0b72e25ed2afb823cc4a2abff0da9,O00002636,138211,404,49786666666655880056888889,138254,404,62399999999989210026666668,1,NoObservedRelation,ABSTAIN,3389,3389
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",10,"OP-00005453-LnInterior-S2686-T141492-A141492",10d1cb07a99b2abefe2fafcb96d852ee1cbaa58cdb9726c70dbaba9f1a3045ff,O00002686,141492,414,12213333333322290076444444,141535,414,2482666666665562004622222,2,NoObservedRelation,ABSTAIN,3475,3475
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",10,"OP-00005456-LnInterior-S2733-T144007-A144007",4f95212ae41910b139e770268c0c076b9d2522935a68f96d3554b5f20a9df0e6,O00002733,144007,421,49946666666655426680888889,144050,421,62559999999988756650666669,0,CandidateNotObserved,ABSTAIN,3547,3547
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",10,"OP-00005459-LnInterior-S2760-T145370-A145370",49701d0d99f7183f87cf9cfae35a00b630e11b259a9e5cbd0a2d684ad0d88fc5,O00002760,145370,425,49759999999988653397333333,145412,425,62079999999988650112000001,6,CandidateNotObserved,ABSTAIN,3589,3589
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",10,"OP-00005461-LnInterior-S2784-T147416-A147416",a093734644c0a8ba82ac5e17397d003efc5dc5aa8805ced0bc361713b68ba2e5,O00002784,147416,431,49919999999988493354666667,147458,431,62239999999988490069333329,6,CandidateNotObserved,ABSTAIN,3658,3658
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",10,"OP-00005462-LnInterior-S2809-T148779-A148779",6d6c0c528b1b57da62c2f800ad23eaf7fdf68e108e6f23a856c0f644683f5069,O00002809,148779,435,49733333333321720071111111,148821,435,62053333333321716785777773,0,NoObservedRelation,ABSTAIN,3701,3701
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",10,"OP-00005464-LnInterior-S2837-T149461-A149461",69ddc46a0515b161bd27223b1aadef9cd9a65666b744966bde624b5eb8b8aaec,O00002837,149461,437,49786666666655000056888889,149504,437,62399999999988330026666667,2,CandidateObservedAmongAlternatives,ADMIT,3724,3724
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",10,"OP-00005467-LnInterior-S2865-T151336-A151336",fc158a4ed58e0f78b1efb8617aef62eb30b30dbb931b2ee43b01b05cdb4c4d70,O00002865,151336,442,99786666666654853390222222,152061,445,12453333333321463345777778,5,CandidateNotObserved,ABSTAIN,3785,3785
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",10,"OP-00005477-LnInterior-S3468-T181166-A181166",be95a6d42e69dd611b30e532c659cf3c9af16238a3060617bc77d3350622eaca,O00003468,181166,530,49919999999985853354666667,181209,530,62533333333319183324444446,5,CandidateNotObserved,ABSTAIN,4531,4531
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",11,"OP-00005403-LnInterior-S32-T5598-A5598",07e3a7b7fd0b92fe633b2b5fcb3e13b60635708f815734574412d982b2a62d5a,O00000032,5598,15,499733333333329200071111111,5683,15,749066666666662466915555555,2,NoObservedRelation,ABSTAIN,67,67
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",11,"OP-00005407-LnInterior-S74-T10882-A10882",e3a79adfa60364448dc12e83d1d38ea07c7277bd6e6dc0a0c163a74db934d67d,O00000074,10882,30,999466666666658400142222222,11223,31,999733333333324800071111111,4,NoObservedRelation,ABSTAIN,137,137
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",11,"OP-00005411-LnInterior-S145-T16336-A16336",282db163e043ccddb6e758012e1b5d489fab3d068466aeffb4aba20b05737dcf,O00000145,16336,46,997866666666654133902222222,16933,48,749066666666653666915555553,2,NoObservedRelation,ABSTAIN,236,236
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",11,"OP-00005425-LnInterior-S2003-T100029-A100029",037c9d2c34575c67831b17ba7ab8ac392dc9f4d892dc16e15fa8cfd1bde6b5bf,O00002003,100029,292,49733333333325533404444444,100114,292,74666666666658860088888888,3,NoObservedRelation,ABSTAIN,2486,2486
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",11,"OP-00005430-LnInterior-S2197-T111109-A111109",87dcc3068cbe845fee11289433a52ff2b39ed1708b674c7ef92f58f169e31383,O00002197,111109,324,99866666666658000035555556,113410,331,74826666666657820046222222,4,NoObservedRelation,ABSTAIN,2739,2739
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",11,"OP-00005431-LnInterior-S2197-T111791-A111791",202b3cb0f6199ee618780d9dd9385cef4ad075923a9290806e80c8bed6359d44,O00002197,111791,326,99919999999991280021333333,111833,327,12239999999991276736000000,4,NoObservedRelation,ABSTAIN,2746,2746
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",11,"OP-00005439-LnInterior-S2240-T116862-A116862",8aad690d392c24e03a0e94187f873833f34e5eebf517b0b0a9d8261e99300f64,O00002240,116862,341,87413333333324216689777778,116904,341,99733333333324213404444445,6,NoObservedRelation,ABSTAIN,2805,2805
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",11,"OP-00005449-LnInterior-S2611-T136762-A136762",785703257a0610057c147135792ab9a94bbc6fc1babe0da0abc1e950c5704198,O00002611,136762,400,24746666666655993400888889,136890,400,62293333333322650055111111,5,NoObservedRelation,ABSTAIN,3321,3321
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",11,"OP-00005452-LnInterior-S2686-T141620-A141620",1ece7e8fcf2b193a0bd8689923f2e1751e96495519494f1b6be979b9ca5c73f6,O00002686,141620,414,49759999999988946730666667,141662,414,62079999999988943445333332,0,CandidateNotObserved,ABSTAIN,3458,3458
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",11,"OP-00005454-LnInterior-S2709-T142814-A142814",020054b037deae3a60f516f1c202e421b2dde1a614981919193d5e0eb02bbc43,O00002709,142814,417,99999999999988853333333333,142857,418,12613333333322183303111116,4,CandidateNotObserved,ABSTAIN,3493,3493
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",11,"OP-00005455-LnInterior-S2709-T143154-A143154",8d07137e3cc08f6b5e5b0f121270ccd455f28cce46096f099f0f3721e0946640,O00002709,143154,418,99733333333322160071111111,143196,419,12053333333322156785777773,1,CandidateNotObserved,ABSTAIN,3501,3501
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",11,"OP-00005457-LnInterior-S2733-T143666-A143666",9b936d3e9bd3baba68a87164de61e3d9e03198cd5c745962abfaa32f293df942,O00002733,143666,420,49919999999988786688,143708,420,62239999999988783402666667,0,CandidateObservedUnique,ADMIT,3518,3518
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",11,"OP-00005461-LnInterior-S2784-T147416-A147416",9bdd828a3c58431d10e2dbc2f41098344d7f49dc3689e7fe8d83accb352f0f90,O00002784,147416,431,49919999999988493354666667,147459,431,6253333333332182332444444,6,CandidateNotObserved,ABSTAIN,3633,3633
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",11,"OP-00005464-LnInterior-S2837-T149461-A149461",69ddc46a0515b161bd27223b1aadef9cd9a65666b744966bde624b5eb8b8aaec,O00002837,149461,437,49786666666655000056888889,149504,437,62399999999988330026666667,6,CandidateObservedAmongAlternatives,ADMIT,3695,3695
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",11,"OP-00005469-LnInterior-S2951-T154916-A154916",4124a3b835ce3bd9aa74c2b8dcdc84b07709badf59e196187623f9f48edb6205,O00002951,154916,453,49919999999987906688,157089,459,8733333333332107004444444,6,CandidateNotObserved,ABSTAIN,3853,3853
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",11,"OP-00005475-LnInterior-S3445-T178353-A178353",fce8e976f7b66d95972c7948913ecece01accfce5acd4e969b5dc46106ce4904,O00003445,178353,522,24773333333319406727111111,178396,522,3738666666665273669688889,2,NoObservedRelation,ABSTAIN,4463,4463
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",12,"OP-00005400-LnInterior-S11-T2189-A2189",ed0364174c2b8a7b782b6451dbdee3f365e172dba1a4731cfbb9964cfba1aa06,O00000011,2189,5,4999999999999985333333333333,2615,6,7495999999999982001066666663,3,CandidateNotObserved,ABSTAIN,28,28
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",12,"OP-00005402-LnInterior-S32-T4916-A4916",2453f9d1bca918992e0b3090898d381913e6f0a90fa339911759f9339a91d398,O00000032,4916,13,499199999999996400213333333,5342,14,748799999999996066986666666,3,CandidateNotObserved,ABSTAIN,64,64
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",12,"OP-00005409-LnInterior-S108-T13609-A13609",a7b604ccc66a5db186cf014cf268d1d8eff9a1ba0dd5ff8bb394baa0999dd691,O00000108,13609,38,998666666666656267022222222,13950,39,998933333333322666951111110,4,NoObservedRelation,ABSTAIN,184,184
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",12,"OP-00005415-LnInterior-S221-T20981-A20981",9408fcd6c465666a841246293c454dce826b03bb87aee5f436b8c154930ce189,O00000221,20981,60,623199999999983833813333333,21023,60,74639999999998380096000000,2,NoObservedRelation,ABSTAIN,341,341
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",12,"OP-00005426-LnInterior-S2050-T104291-A104291",eeb77dabce28e43a0d7643310e40b637d692bce46ea989a71468f0c3ff672328,O00002050,104291,304,99919999999991866688,104333,305,12239999999991863402666666,4,NoObservedRelation,ABSTAIN,2555,2555
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",12,"OP-00005434-LnInterior-S2219-T115200-A115200",7076b99f69c5619714d067fc59dbf30fb3d7ff3c9c544c69a07f943232644f13,O00002219,115200,336,99893333333324346695111111,115242,337,12213333333324343409777778,4,CandidateObservedUnique,ADMIT,2766,2766
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",12,"OP-00005444-LnInterior-S2505-T130711-A130711",b09698d5f889835ac6ce0cab704197776c8941277887bd9b85779663b1614c72,O00002505,130711,382,49786666666656466723555556,130754,382,62399999999989796693333334,4,CandidateNotObserved,ABSTAIN,3144,3144
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",12,"OP-00005447-LnInterior-S2539-T134632-A134632",7b822bb912d269920da391ef57b89e9b30a12feac07877f06808ccd4f94929de,O00002539,134632,393,99946666666656160014222222,134675,394,12559999999989489983999999,5,CandidateNotObserved,ABSTAIN,3249,3249
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",12,"OP-00005451-LnInterior-S2636-T138211-A138211",5c5db50821df58bdce3b91f853a4df5bd9279890bd5742f79beaabe403178208,O00002636,138211,404,49786666666655880056888889,138253,404,62106666666655876771555556,4,NoObservedRelation,ABSTAIN,3351,3351
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",12,"OP-00005450-LnInterior-S2636-T138552-A138552",3b2f391f26dc8fcdd15fadb5d2ebacded9e73380a2fb065fa64b25c8691752d1,O00002636,138552,405,49813333333322520049777778,138594,405,62133333333322516764444447,1,CandidateNotObserved,ABSTAIN,3361,3361
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",12,"OP-00005457-LnInterior-S2733-T143666-A143666",0854cc08f5a4ce776313164873d73dcdb854ca415bf9a441cef79e32204d6b22,O00002733,143666,420,49919999999988786688,143709,420,62533333333322116657777777,4,CandidateNotObserved,ABSTAIN,3506,3506
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",12,"OP-00005460-LnInterior-S2784-T147245-A147245",760817ab0c4ca8e07dc0a82c5efcf49a689f57594766ac2fab058215da3d92df,O00002784,147245,430,99759999999988506730666667,147288,431,12373333333321836700444449,2,NoObservedRelation,ABSTAIN,3618,3618
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",12,"OP-00005465-LnInterior-S2837-T149120-A149120",8b03ed119da442cb2df968988c9920e8a231536ccf92c44053490451c7343bbb,O00002837,149120,436,49759999999988360064,149163,436,62373333333321690033777776,2,CandidateNotObserved,ABSTAIN,3687,3687
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",12,"OP-00005469-LnInterior-S2951-T154916-A154916",8b65ef9753cc0637399eedea3d0e2d4e04aa5c76940d1ad73418ddca9b6b72fe,O00002951,154916,453,49919999999987906688,156663,458,62373333333321103367111112,0,CandidateNotObserved,ABSTAIN,3847,3847
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",13,"OP-00005403-LnInterior-S32-T5598-A5598",214e3535be7379b0a79c0a5d9f71950193e3d2aca5a9b485b2d783da4c900e58,O00000032,5598,15,499733333333329200071111111,6195,17,250933333333328733084444444,4,NoObservedRelation,ABSTAIN,71,71
